"Calendar year","6-monthly","Cause of injury = traffic","First Nations status","Category Type","Category Value","Hospitalisations","Bed days excluding died in hospitals within 30 days"
2018,"Jul-Dec","Traffic","First Nations people","Age group","8-16",9,"23"
2018,"Jul-Dec","Traffic","First Nations people","Age group","17-25",12,"37"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",9172,"48680"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",3973,"24890"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",3067,"8310"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",1286,"15177"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",247,"2306"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",152,"1536"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",130,"844"
2018,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",294,"1813"
2018,"Jan-Jun","Traffic","First Nations people","Age group","65+",434,"2100"
2019,"Jan-Jun","Traffic","First Nations people","Age group","0-7",167,"1087"
2019,"Jan-Jun","Traffic","First Nations people","Age group","8-16",101,"217"
2019,"Jan-Jun","Traffic","First Nations people","Age group","17-25",100,"780"
2019,"Jan-Jun","Traffic","First Nations people","Age group","26-39",8,"50"
2019,"Jan-Jun","Traffic","First Nations people","Age group","40-64",0,"0"
2019,"Jan-Jun","Traffic","First Nations people","Age group","65+",0,"0"
2019,"Jan-Jun","Traffic","First Nations people","Age group","0-7",13,"25"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",8801,"44599"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",4287,"25835"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",3505,"10310"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",1228,"13247"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",250,"1155"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",0,"0"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",0,"0"
2019,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",284,"1756"
2019,"Jul-Dec","Traffic","First Nations people","Age group","26-39",504,"2276"
2019,"Jul-Dec","Traffic","First Nations people","Age group","40-64",152,"719"
2019,"Jul-Dec","Traffic","First Nations people","Age group","65+",100,"235"
2019,"Jul-Dec","Traffic","First Nations people","Age group","0-7",109,"1121"
2019,"Jul-Dec","Traffic","First Nations people","Age group","8-16",7,"20"
2019,"Jul-Dec","Traffic","First Nations people","Age group","17-25",0,"0"
2019,"Jul-Dec","Traffic","First Nations people","Age group","26-39",0,"0"
2019,"Jul-Dec","Traffic","First Nations people","Age group","40-64",22,"122"
2019,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",9100,"43707"
2020,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",4031,"24385"
2020,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",3277,"10537"
2020,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",1237,"15403"
2020,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",250,"1832"
2020,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",0,"0"
2020,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",0,"0"
2020,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",270,"1997"
2020,"Jan-Jun","Traffic","First Nations people","Age group","8-16",505,"2530"
2020,"Jan-Jun","Traffic","First Nations people","Age group","17-25",160,"750"
2020,"Jan-Jun","Traffic","First Nations people","Age group","26-39",99,"177"
2020,"Jan-Jun","Traffic","First Nations people","Age group","40-64",96,"539"
2020,"Jan-Jun","Traffic","First Nations people","Age group","65+",8,"30"
2020,"Jan-Jun","Traffic","First Nations people","Age group","0-7",0,"0"
2020,"Jan-Jun","Traffic","First Nations people","Age group","8-16",0,"0"
2020,"Jan-Jun","Traffic","First Nations people","Age group","17-25",20,"184"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",8983,"43241"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",4140,"26106"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",3522,"10604"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",1237,"10726"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",265,"1223"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",0,"0"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",0,"0"
2020,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",277,"1606"
2020,"Jul-Dec","Traffic","First Nations people","Age group","65+",608,"3799"
2021,"Jul-Dec","Traffic","First Nations people","Age group","0-7",173,"762"
2021,"Jul-Dec","Traffic","First Nations people","Age group","8-16",100,"287"
2021,"Jul-Dec","Traffic","First Nations people","Age group","17-25",113,"589"
2021,"Jul-Dec","Traffic","First Nations people","Age group","26-39",12,"37"
2021,"Jul-Dec","Traffic","First Nations people","Age group","40-64",7,"25"
2021,"Jul-Dec","Traffic","First Nations people","Age group","65+",6,"61"
2021,"Jul-Dec","Traffic","First Nations people","Age group","0-7",17,"382"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",9354,"45945"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",4060,"22538"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",3154,"9167"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",1175,"13639"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",259,"2253"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",114,"1017"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",128,"791"
2021,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",274,"2076"
2021,"Jan-Jun","Traffic","First Nations people","Age group","26-39",477,"2115"
2021,"Jan-Jun","Traffic","First Nations people","Age group","40-64",167,"945"
2021,"Jan-Jun","Traffic","First Nations people","Age group","65+",112,"370"
2021,"Jan-Jun","Traffic","First Nations people","Age group","0-7",120,"796"
2021,"Jan-Jun","Traffic","First Nations people","Age group","8-16",0,"0"
2021,"Jan-Jun","Traffic","First Nations people","Age group","17-25",6,"9"
2021,"Jan-Jun","Traffic","First Nations people","Age group","26-39",0,"0"
2021,"Jan-Jun","Traffic","First Nations people","Age group","40-64",10,"47"
2021,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",8895,"41859"
2011,"Jan-Jun","Traffic","First Nations people","Road user","Car driver, passenger or unknown position",46,"208"
2011,"Jan-Jun","Traffic","First Nations people","Road user","Motorcyclist",91,"529"
2011,"Jan-Jun","Traffic","First Nations people","Road user","Pedal cyclist",173,"1123"
