Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Category Type,Category Value,Hospitalisations,Bed days excluding died in hospitals within 30 days
2018,Jan-Jun,Traffic,Non-Indigenous,Age group,0-7,334,1116
2018,Jan-Jun,Traffic,Non-Indigenous,Age group,8-16,1059,2847
2018,Jan-Jun,Traffic,Non-Indigenous,Age group,17-25,3794,14632
2018,Jan-Jun,Traffic,Non-Indigenous,Age group,26-39,4633,19062
2018,Jan-Jun,Traffic,Non-Indigenous,Age group,40-64,6265,33193
2018,Jan-Jun,Traffic,Non-Indigenous,Age group,65+,2595,24086
2018,Jul-Dec,Traffic,First Nations people,Age group,0-7,45,243
2018,Jul-Dec,Traffic,First Nations people,Age group,8-16,123,512
2018,Jul-Dec,Traffic,First Nations people,Age group,17-25,343,2073
2018,Jul-Dec,Traffic,First Nations people,Age group,26-39,275,1720
2018,Jul-Dec,Traffic,First Nations people,Age group,40-64,225,1232
2018,Jul-Dec,Traffic,First Nations people,Age group,65+,25,162
2018,Jul-Dec,Traffic,Non-Indigenous,Age group,0-7,312,1050
2018,Jul-Dec,Traffic,Non-Indigenous,Age group,8-16,1085,2887
2018,Jul-Dec,Traffic,Non-Indigenous,Age group,17-25,3828,16976
2018,Jul-Dec,Traffic,Non-Indigenous,Age group,26-39,4467,17819
2018,Jul-Dec,Traffic,Non-Indigenous,Age group,40-64,6116,33328
2018,Jul-Dec,Traffic,Non-Indigenous,Age group,65+,2710,25366
2019,Jan-Jun,Traffic,First Nations people,Age group,0-7,40,85
2019,Jan-Jun,Traffic,First Nations people,Age group,8-16,113,369
2019,Jan-Jun,Traffic,First Nations people,Age group,17-25,261,1245
2019,Jan-Jun,Traffic,First Nations people,Age group,26-39,264,1369
2019,Jan-Jun,Traffic,First Nations people,Age group,40-64,193,1108
2019,Jan-Jun,Traffic,First Nations people,Age group,65+,27,191
2019,Jan-Jun,Traffic,Non-Indigenous,Age group,0-7,311,1283
2019,Jan-Jun,Traffic,Non-Indigenous,Age group,8-16,1067,2620
2019,Jan-Jun,Traffic,Non-Indigenous,Age group,17-25,3842,17090
2019,Jan-Jun,Traffic,Non-Indigenous,Age group,26-39,4534,19164
2019,Jan-Jun,Traffic,Non-Indigenous,Age group,40-64,6357,32678
2019,Jan-Jun,Traffic,Non-Indigenous,Age group,65+,2678,22904
2019,Jul-Dec,Traffic,First Nations people,Age group,0-7,38,252
2019,Jul-Dec,Traffic,First Nations people,Age group,8-16,135,443
2019,Jul-Dec,Traffic,First Nations people,Age group,17-25,260,1955
2019,Jul-Dec,Traffic,First Nations people,Age group,26-39,275,1733
2019,Jul-Dec,Traffic,First Nations people,Age group,40-64,218,1248
2019,Jul-Dec,Traffic,First Nations people,Age group,65+,32,317
2019,Jul-Dec,Traffic,Non-Indigenous,Age group,0-7,305,846
2019,Jul-Dec,Traffic,Non-Indigenous,Age group,8-16,1152,3346
2019,Jul-Dec,Traffic,Non-Indigenous,Age group,17-25,3644,15296
2019,Jul-Dec,Traffic,Non-Indigenous,Age group,26-39,4434,15749
2019,Jul-Dec,Traffic,Non-Indigenous,Age group,40-64,6222,34360
2019,Jul-Dec,Traffic,Non-Indigenous,Age group,65+,2936,26534
2020,Jan-Jun,Traffic,First Nations people,Age group,0-7,41,157
2020,Jan-Jun,Traffic,First Nations people,Age group,8-16,117,362
2020,Jan-Jun,Traffic,First Nations people,Age group,17-25,300,1619
2020,Jan-Jun,Traffic,First Nations people,Age group,26-39,295,1652
2020,Jan-Jun,Traffic,First Nations people,Age group,40-64,209,1380
2020,Jan-Jun,Traffic,First Nations people,Age group,65+,28,185
2020,Jan-Jun,Traffic,Non-Indigenous,Age group,0-7,309,921
2020,Jan-Jun,Traffic,Non-Indigenous,Age group,8-16,1134,2849
2020,Jan-Jun,Traffic,Non-Indigenous,Age group,17-25,3352,12715
2020,Jan-Jun,Traffic,Non-Indigenous,Age group,26-39,3911,15452
2020,Jan-Jun,Traffic,Non-Indigenous,Age group,40-64,5550,28893
2020,Jan-Jun,Traffic,Non-Indigenous,Age group,65+,2240,22400
2020,Jul-Dec,Traffic,First Nations people,Age group,0-7,41,259
2020,Jul-Dec,Traffic,First Nations people,Age group,8-16,178,689
2020,Jul-Dec,Traffic,First Nations people,Age group,17-25,405,1959
2020,Jul-Dec,Traffic,First Nations people,Age group,26-39,364,2191
2020,Jul-Dec,Traffic,First Nations people,Age group,40-64,287,1698
2020,Jul-Dec,Traffic,First Nations people,Age group,65+,25,225
2020,Jul-Dec,Traffic,Non-Indigenous,Age group,0-7,311,755
2020,Jul-Dec,Traffic,Non-Indigenous,Age group,8-16,1344,3436
2020,Jul-Dec,Traffic,Non-Indigenous,Age group,17-25,3831,13891
2020,Jul-Dec,Traffic,Non-Indigenous,Age group,26-39,4494,16994
2020,Jul-Dec,Traffic,Non-Indigenous,Age group,40-64,6124,29702
2020,Jul-Dec,Traffic,Non-Indigenous,Age group,65+,2586,21891
2021,Jan-Jun,Traffic,First Nations people,Age group,0-7,44,289
2021,Jan-Jun,Traffic,First Nations people,Age group,8-16,140,640
2021,Jan-Jun,Traffic,First Nations people,Age group,17-25,361,2003
2021,Jan-Jun,Traffic,First Nations people,Age group,26-39,286,1606
2021,Jan-Jun,Traffic,First Nations people,Age group,40-64,272,1804
2021,Jan-Jun,Traffic,First Nations people,Age group,65+,14,187
2021,Jan-Jun,Traffic,Non-Indigenous,Age group,0-7,312,685
2021,Jan-Jun,Traffic,Non-Indigenous,Age group,8-16,1204,3779
2021,Jan-Jun,Traffic,Non-Indigenous,Age group,17-25,3776,15822
2021,Jan-Jun,Traffic,Non-Indigenous,Age group,26-39,4548,17570
2021,Jan-Jun,Traffic,Non-Indigenous,Age group,40-64,6602,33374
2021,Jan-Jun,Traffic,Non-Indigenous,Age group,65+,2818,24697
2021,Jul-Dec,Traffic,First Nations people,Age group,0-7,42,111
2021,Jul-Dec,Traffic,First Nations people,Age group,8-16,151,597
2021,Jul-Dec,Traffic,First Nations people,Age group,17-25,325,1519
2021,Jul-Dec,Traffic,First Nations people,Age group,26-39,311,2375
2021,Jul-Dec,Traffic,First Nations people,Age group,40-64,243,2026
2021,Jul-Dec,Traffic,First Nations people,Age group,65+,31,119
2021,Jul-Dec,Traffic,Non-Indigenous,Age group,0-7,298,874
2021,Jul-Dec,Traffic,Non-Indigenous,Age group,8-16,1329,3464
2021,Jul-Dec,Traffic,Non-Indigenous,Age group,17-25,3449,13175
2021,Jul-Dec,Traffic,Non-Indigenous,Age group,26-39,4141,17058
2021,Jul-Dec,Traffic,Non-Indigenous,Age group,40-64,5735,28284
2021,Jul-Dec,Traffic,Non-Indigenous,Age group,65+,2543,22621
2011,Jan-Jun,Traffic,First Nations people,Road user,"Car driver, passenger or unknown position",283,1680
2011,Jan-Jun,Traffic,First Nations people,Road user,Motorcyclist,78,644
2011,Jan-Jun,Traffic,First Nations people,Road user,Pedal cyclist,57,182
2011,Jan-Jun,Traffic,First Nations people,Road user,Pedestrian,115,914
2011,Jan-Jun,Traffic,First Nations people,Road user,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2011,Jan-Jun,Traffic,First Nations people,Road user,Pick-up truck or van occupant,n.p.,n.p.
2011,Jan-Jun,Traffic,First Nations people,Road user,Other or unknown,19,83
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,"Car driver, passenger or unknown position",7531,33855
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,Motorcyclist,3524,18615
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,Pedal cyclist,2629,7404
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,Pedestrian,1270,9859
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,Pick-up truck or van occupant,n.p.,n.p.
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,Bus occupant,117,405
2011,Jan-Jun,Traffic,Non-Indigenous,Road user,Other or unknown,235,1039
2011,Jul-Dec,Traffic,First Nations people,Road user,"Car driver, passenger or unknown position",334,1757
2011,Jul-Dec,Traffic,First Nations people,Road user,Motorcyclist,109,373
2011,Jul-Dec,Traffic,First Nations people,Road user,Pedal cyclist,64,208
2011,Jul-Dec,Traffic,First Nations people,Road user,Pedestrian,65,471
2011,Jul-Dec,Traffic,First Nations people,Road user,"Heavy transport driver, passenger or unknown position",11,21
2011,Jul-Dec,Traffic,First Nations people,Road user,Pick-up truck or van occupant,n.p.,n.p.
2011,Jul-Dec,Traffic,First Nations people,Road user,Bus occupant,n.p.,n.p.
2011,Jul-Dec,Traffic,First Nations people,Road user,Other or unknown,15,73
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,"Car driver, passenger or unknown position",8066,34345
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,Motorcyclist,3661,16870
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,Pedal cyclist,2545,6974
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,Pedestrian,1252,9264
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,"Heavy transport driver, passenger or unknown position",287,1429
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,Pick-up truck or van occupant,n.p.,n.p.
2011,Jul-Dec,Traffic,Non-Indigenous,Road user,Bus occupant,n.p.,n.p.
